Cluster,Topics 2,Topics 3,Topics 4,Topics 5,Topics 6,Topics 7,Topics 8,Topics 9,Topics 10
1,6.633922814215342,7.879231258367865,8.733426373283237,9.398523096374365,9.95418161873008,10.437427484887014,10.141402117157524,11.258908124774548,10.751470242653527
2,39.265469646148205,38.30071267269193,42.184201936685746,40.842137124032746,37.301376521205746,41.05683241713951,40.5418209911714,42.51830841559186,45.36300603230442
3,77.36092593762767,78.64322600359078,81.73373778787247,82.98472139316439,86.2280069444051,90.36455785756758,98.60512879876975,82.61549971797776,78.22083662804042
4,72.86772822876873,80.53219783418754,82.69824924937146,85.67952029379163,90.77509738734325,90.02023712942561,103.58189231890873,130.7258539121177,101.13228578621403
5,79.7880721683962,82.3165224452713,100.90984504134039,82.34914499640281,101.09762940948076,113.09613104352468,107.37606476680223,95.82259332588535,120.69939710251323
6,14.657756081969573,15.553722711360843,17.031446964129632,16.29867156400642,17.50388323761185,17.6873894771366,19.069313205913634,19.310709519739742,20.044744391060085
7,49.12538742352544,47.8008048176555,43.73828863510505,48.90049222257043,51.38833299297456,51.76773468733025,54.62526738146902,51.614949398071694,52.787357201278255
8,13.28278771917265,15.6682860291067,17.740326570277233,19.504281432428684,19.737581872463828,21.991945245750124,23.36543193817108,26.40788387549642,26.099337341288102
9,57.80790815136817,59.5550417069965,60.920238223138135,61.174326811282015,71.57790046438608,66.00566332341677,68.1532124517956,67.31070363012007,72.61571368666982
10,42.18008649583961,57.258138952545224,53.73495147731001,66.72482951651928,59.737217482174756,69.51068611598532,87.13214861351452,76.21398202396462,86.08175771442534
11,13.701226366519853,15.63748403517993,18.24213962720135,19.375868066972107,19.7895474872193,22.696484462530876,22.365204932370304,22.67365096222183,23.563750390490366
12,8.01019286698148,9.762173827580463,10.890989494856825,11.693719865559865,12.565343676502204,13.214499219290484,13.858656116502326,14.44882230633883,14.995393543474052
13,27.41267449958427,29.278383401771848,32.41906643357841,40.83500277228556,33.60291424042222,32.65992177736955,36.327397672362416,38.64758088633952,42.61859448798799
14,6.389754007882305,7.832163472142364,8.915308002876658,9.79891431705314,10.557527403841426,11.229209444748616,11.835873036539123,12.391530813482486,12.905845773960559
15,11.393215301025677,21.615287541572624,14.383135110630572,15.495688302835978,16.591735861424223,17.29979566380383,18.822895933870484,19.015965624420033,19.59601515972082
16,82.77897187027558,93.73977916454956,96.91021947964393,88.73793835954616,86.70388217533755,91.45061748612794,104.55543090292107,106.11003847230253,115.81600227784529
17,114.3879348825836,118.91581729472003,117.53540482111474,133.10946227775383,133.43456375065256,146.5349263666851,165.9811548132779,133.28484349912677,143.1227220396685
18,28.63846132786267,36.065683977809364,39.13161972845443,49.42763228075655,47.086920118147134,44.69171992501882,46.19328367332267,51.806159819685206,52.11472612109703
19,54.02662723577026,50.63410450719267,52.825662909962176,66.01900235688534,56.565311023570395,52.20774442060526,55.910929831296976,53.28883538089928,56.87193693592313
20,22.014707504086804,27.587079183019604,25.83984303884494,28.870644790128868,40.34469848931598,35.039214782490276,36.99727818934185,46.11539782829628,55.77239518640158
21,38.21325100742797,43.65706662469221,42.53831942394287,48.34039752744696,46.32746786054495,49.87714150472625,48.66556544975653,47.427530207409305,50.98054767815357
22,31.41294202918336,31.43331167453703,33.71547607555202,34.16276801863199,36.11312798296816,40.9133042335722,44.24490763973689,44.62659411585575,40.648870548335445
23,36.130408465905354,43.5234618662891,39.777784672338655,62.87693312734204,63.93974440745592,68.5788552697818,68.45618520434341,67.23859676319006,94.07956722156203
24,21.056277338209185,23.168155725173484,28.51916433875146,35.391000306304036,39.9703065244786,35.85282020387366,49.31469089065567,59.73285707631253,71.19294221128688
25,6.294423539938984,7.692747954001491,8.73322245001007,9.577562552541167,10.299634141199581,10.936949913702039,11.511052377262343,12.035688894401309,12.52032030522963
26,29.806363205552593,46.086260217094754,36.608704864869125,33.74037702963221,40.562580318070786,47.36913801195481,44.38910854260947,73.47253630406024,55.79209481534967
27,21.828447755429206,25.973419663623396,27.960170282003833,27.409277540733445,28.905193850991278,30.781563824651446,32.80931531029815,37.32248452473318,39.711160469521126
28,8.338031735124103,9.958135051460975,11.774061953326342,12.795630271789783,13.701337558649955,13.609443208296408,14.558683720392942,16.203089730685683,16.897846455409724
29,7.109740862650874,10.123308586190916,9.545240260569555,10.800325502935685,12.559349717748324,12.127635524278418,12.845756541903766,13.51975083462534,14.700506635455955
30,3.102947110260785,5.411671642636967,5.660484104545806,6.803951777057098,7.886962289672485,8.929965739601364,9.943906077015132,10.934912077072246,11.906767512452443
31,4.77323941349703,6.294671319544052,7.382443762973384,8.310412948150633,9.179719442495712,9.978369687202848,11.023992246864799,11.383580174577792,12.097917763961348
32,27.477856499543055,32.795621841832464,29.39139752030951,29.24778103760537,35.303197935825104,43.99278020432736,36.50704563478249,38.5852218660528,38.81615046833269
33,6.666532480902181,8.25371569541694,9.475180582573438,10.487496877662709,11.367074126919944,12.153430077855234,12.869466671792559,13.52991701998356,14.145002613374485
34,5.929936010211101,6.959663636575086,7.696176957718458,8.289935213808178,8.794892204409912,9.60569547314741,10.068635159845062,10.495349304518957,10.892633463869982
35,31.768975302419687,30.781963857208712,32.638911677287226,32.74472295343238,31.99083007240939,32.887883223667565,33.6935239505664,46.62881375270025,38.667496666708686
36,63.80840668896531,67.75473188764745,72.97904038626555,81.3656830804149,81.97135813706548,77.17748418005677,87.07649826436348,82.39398705511437,89.03405580009189
37,14.024881545571537,15.627111355240253,16.960117120012338,18.11646144462891,19.246878658459444,20.233462883314008,20.967398081487485,20.673354246942786,22.251984625264136
38,73.59883470391492,77.6938700858693,83.56681046171718,76.17176762210588,78.14959584965017,88.22163276146243,92.09656432597706,92.87992363133685,94.9965491153357
39,122.82004207529573,144.04956042577055,148.9459027480918,162.5244758820757,152.47014913759168,167.89108419036427,187.8286298355512,185.4886190606223,182.50375059553895
40,93.29147811576307,99.68403833761114,103.6591297843795,96.39497604654704,109.5669286884563,115.42259661586046,106.05836430646666,122.00434551271157,117.56627680833701
41,81.01292674006235,81.51766308212359,97.46281563332545,113.96787120520403,121.07966476861512,124.11997791105306,131.40259028129415,145.2952311000402,160.9889686573976
42,32.22415269135854,35.55730107448251,32.91726866673989,40.27913387908529,42.250032493007936,42.928554492606665,47.534163032483455,45.52866586067072,49.18548072995049
43,47.74632268092855,47.854612554637505,52.828577980902956,53.23475354544261,50.349681933091254,59.10572252628665,68.10534595978518,72.52519987930243,52.891041437225766
44,66.74200063353202,70.26865549171416,79.93179243426967,85.88174191918436,77.20791124743864,75.33488596419731,84.74858888726793,97.43833406853632,88.21268977994161
