Cluster,Label,Words Count,Avg TF-IDF,Std TF-IDF
1,Clusters,5,4.1076,1.5657299383993397
2,Clusters,10,3.0216000000000003,1.379639097735346
3,Clusters,10,1.7880000000000003,0.4962575944003276
4,Clusters,10,2.973,0.9788543303270413
5,Clusters,10,3.7413000000000003,2.720663670871503
6,Clusters,10,3.0448999999999997,1.186796566392067
7,Clusters,10,2.4463,0.5189082866942868
8,Clusters,10,3.4192,1.6460846150790671
9,Clusters,10,2.7579000000000002,0.9916244702507093
10,Clusters,10,1.6601,0.6088798649980142
11,Clusters,10,5.9594000000000005,1.092820040079793
12,Clusters,6,3.646833333333333,1.2546185896739914
13,Clusters,10,1.8696000000000002,0.9356327484649093
14,Clusters,4,3.5,0.0
15,Clusters,10,2.0986000000000002,0.6007675423988883
16,Clusters,10,1.7129999999999999,0.5682971053947046
17,Clusters,10,2.6984000000000004,0.902691885418275
18,Clusters,10,3.8952,1.4075983660121236
19,Clusters,10,6.7982,2.3267908285877357
20,Clusters,10,1.7072000000000003,0.5242573413887498
21,Clusters,10,1.8256999999999999,0.9185867460398065
22,Clusters,10,3.1063,1.4544725538833658
23,Clusters,10,1.4939999999999998,0.3467330385181082
24,Clusters,10,1.3465000000000003,0.6215580825634882
25,Clusters,4,4.0,0.0
26,Clusters,10,1.4654,0.8458068573853016
27,Clusters,10,2.4181999999999997,1.404795130971061
28,Clusters,8,3.225,2.398
29,Clusters,7,1.6932857142857145,1.3227472185121512
30,Clusters,2,2.11,1.142
31,Clusters,4,2.14125,1.440537464802634
32,Clusters,10,1.6262,0.9416712589858522
33,Clusters,4,2.5,0.0
34,Clusters,5,1.7860000000000003,1.1742607887518002
35,Clusters,10,5.5009999999999994,2.336395214855569
36,Clusters,10,3.4454000000000002,1.6934261838060731
37,Clusters,10,6.186400000000001,3.9282498953096154
38,Clusters,10,2.1177,0.6344120191169142
39,Clusters,10,1.8523999999999998,0.7969582423188808
40,Clusters,10,3.1348,1.1483661262855152
41,Clusters,10,2.1516,0.7821427235485862
42,Clusters,10,2.2948,0.7094704785965377
43,Clusters,10,1.5228000000000002,0.3487973050354604
44,Clusters,10,2.8287999999999998,0.7455086585680948
1,Combined,10,0.758,0.18406683568747523
2,Combined,10,1.3614000000000002,0.37563285266334207
3,Combined,10,0.8681999999999999,0.21073338605925734
4,Combined,10,1.9132000000000002,0.35779821128675304
5,Combined,10,1.1038000000000001,0.20751375858000354
6,Combined,10,3.5460000000000003,0.7106284542572159
7,Combined,10,2.2425,0.28955353563719427
8,Combined,10,1.7355999999999998,1.259011771191993
9,Combined,10,2.1986000000000003,0.8593718869034523
10,Combined,10,1.0061,0.6176558022070221
13,Combined,10,1.2792,0.5454885516672188
16,Combined,10,2.2027,1.2228133177227012
17,Combined,10,2.1713,0.9809067284915524
18,Combined,10,4.4856,2.3107131020531306
19,Combined,10,8.4905,5.355027306186216
20,Combined,10,1.2803,1.382215616320406
21,Combined,10,1.9068,1.1659016939690927
22,Combined,10,3.4650000000000007,2.0890427951576287
23,Combined,10,1.7153000000000003,1.0711510677770901
24,Combined,9,1.599333333333333,0.6672991999262565
26,Combined,10,1.2205,0.43937301919894906
27,Combined,10,2.054,1.6377496145626165
30,Combined,5,0.38800000000000007,0.22199999999999995
31,Combined,10,1.0568,1.5401384872796342
35,Combined,10,0.3661,0.12038475817145625
36,Combined,10,3.3053,0.8144754201324923
37,Combined,10,7.234299999999999,3.994729529016952
38,Combined,10,1.5662999999999998,1.0791383646224426
39,Combined,10,2.7908,0.6936177333373189
40,Combined,10,3.2616,1.7623996255106276
41,Combined,10,2.0079000000000002,0.29233420942476096
42,Combined,10,2.8342,1.4116817488371802
43,Combined,10,1.074,0.3334708383052407
44,Combined,10,2.1889999999999996,1.0994822417847412
