Column,Word,Count
Component,bus,189
Component,cpu,172
Component,data,172
Component,th,158
Component,asc,148
Component,sensor,145
Component,controller,97
Component,dv,96
Component,process,87
Component,hw,84
Component,thread0,80
Component,control,79
Component,1,77
Component,interrupt,72
Component,2,69
Component,ram,68
Component,thread,68
Component,manager,67
Component,b,66
Component,a,66
Component,proc,64
Component,manage,62
Component,p,62
Component,mem,60
Component,c,58
Feature,data,890
Feature,in,654
Feature,output,517
Feature,bus,513
Feature,input,508
Feature,out,500
Feature,power,495
Feature,status,349
Feature,alarm,342
Feature,to,324
Feature,temperature,302
Feature,send,265
Feature,get,214
Feature,dataport,202
Feature,speed,200
Feature,canbusaccess,198
Feature,message,191
Feature,request,185
Feature,selected,185
Feature,desired,183
Feature,access,181
Feature,altitude,178
Feature,current,170
Feature,position,169
Feature,control,167
